Gene,n_guides,MERS-CoV T1015N,MERS-CoV,HKU5-SARS-CoV-1-S,VSV-SARS-CoV-2-S,SARS-CoV-2 Cas9-V2 Avg.
ACTR3,4,-1.016841365,-0.696851653,0.54693965,0.253434154,-0.266313666
ACTR3B,4,-0.324471594,-0.068530762,1.196488685,-0.055222048,0.499518968
ACTR5,4,0.227372239,-0.775098253,0.107804028,0.028866905,-1.693456202
ACTR6,4,-0.375200298,-0.770958737,-0.457478441,1.041005662,-3.102130047
ACTR8,4,0.033692653,0.092422915,-0.142325094,-0.358232154,-0.480712409
ACTRT2,4,-0.158702967,0.967525199,-0.153672408,0.421207967,0.636913409
ACTRT3,4,-0.637662384,-0.112853737,0.793478424,0.551538141,-0.267802394
ACVR1,4,1.47464666,-0.106855991,2.461266395,1.611478715,0.686503854
ACVR1B,4,2.862869291,1.81572125,2.698965281,1.890090798,2.195764295
ACVR1C,4,0.586761337,-0.271498435,-0.390571302,-0.273378491,-0.32940003
ACVR2A,3,1.198250522,-0.892268949,1.009337475,1.450481155,0.47039066
ACVR2B,4,1.716796777,1.432142604,2.100454764,1.552387216,0.019579741
ACVRL1,4,-1.504717185,-1.376282236,0.196627313,-0.131049979,0.144710127
ACY1,4,-0.210759758,0.850469312,0.314512606,-0.423819755,1.081819168
ACYP1,4,-0.50085926,0.763109531,0.262607768,0.214528069,0.648594145
ACYP2,4,0.271509127,-0.928088518,-1.484528398,-0.321635389,-1.314721622
ADA,4,-1.299990303,0.397464,0.501787251,0.75048723,0.310811379
ADA2,4,-0.600949714,-1.429476091,-0.53001578,-0.921469818,0.391152398
ADAD1,3,-0.766825533,0.173326811,-0.749613701,0.551984982,-0.470924623
ADAD2,4,-1.361232228,1.235134249,-1.359738807,-2.826618553,-0.046616335
ADAL,4,0.326513874,0.783777195,0.685652971,1.140307554,-0.495554403
ADAM10,4,-0.268892989,-0.671725682,-0.27335579,0.962312848,-0.385583584
ADAM11,4,0.368150932,1.199371772,0.375928084,-0.011802465,-0.425414802
ADAM12,4,-1.268187907,0.570811921,-0.463135462,0.28999586,0.741870229
ADAM15,4,0.21743612,0.645631289,0.284032971,-0.04922919,0.39480656
ADAM17,4,0.297813147,0.383126133,-1.06806312,0.600719837,0.077429932
ADAM19,4,0.025685835,-0.93983988,1.227510441,0.982029815,0.663028368
ADAM2,4,-1.82571367,0.408848248,-0.097897002,0.725606002,-0.279611792
ADAM22,4,-1.322466688,-1.46891246,-1.096208529,-0.80746304,-0.547321176
ADAM23,4,0.50638955,0.508321197,0.326939111,-0.752020342,-0.625286019
ADAM28,4,2.617117253,0.847237311,2.151951968,1.12500215,0.82156998
ADAM29,4,0.57041472,0.015214587,-0.228610583,-2.392199372,0.683856121
ADAM30,4,1.097889982,-0.473807089,0.955514645,0.277231484,2.457433351
ADAM32,4,-1.683004343,-1.488727909,-0.174063086,-0.125000228,-1.043279438
ADAM33,4,-0.41528072,-0.774685014,0.760637094,-0.999541043,-0.721892003
ADAM7,4,2.450862619,1.226739762,0.099431826,-0.678850711,0.050346677
ADAM8,4,1.006171199,-0.592835366,-0.959603068,-0.850754079,-0.027431308
ADAM9,4,-0.161439136,0.209881354,-0.194243283,0.982106293,-0.427063091
ADAMDEC1,4,-0.091927939,0.067440149,-0.592130574,-1.234645811,0.163487177
ADAMTS1,4,-0.586920899,0.758765859,-0.644040692,-0.926348768,0.929290085
ADAMTS10,4,0.609650711,-0.349147829,0.083603205,-0.52988,0.631683833
ADAMTS12,4,-1.176252187,-1.342027686,0.151102807,0.102420746,0.219212751
ADAMTS13,4,0.570872988,0.17571154,0.372152512,1.089032332,0.99688924
ADAMTS14,4,0.228532788,0.23179063,0.55393614,0.580112932,0.43456435
ADAMTS15,4,0.409230717,-1.732076702,-1.177245595,-0.932427501,-1.141125506
ADAMTS16,4,-0.594916707,-1.329519132,0.081141666,0.338409035,0.62507011
ADAMTS17,4,-0.698552332,0.362865178,-0.372187532,-0.434756936,-1.076611546
ADAMTS18,4,0.454187999,-0.473006499,-0.555556175,-1.19187369,0.112714382
ADAMTS19,4,0.971722711,-0.779830829,0.604052281,0.22244367,-0.478779958
ADAMTS2,4,1.064584106,0.807386523,-0.325977762,0.247233128,0.132201745
ADAMTS20,4,-0.322770989,0.504990444,0.802773812,1.476009118,0.666098829
ADAMTS3,4,0.552409455,0.058090179,-1.205287176,-0.812101679,-1.179622275
ADAMTS4,4,1.735030314,0.043066579,1.616592199,3.0388727,-0.020560111
ADAMTS5,4,0.883692316,1.235567912,0.671447022,0.226776816,-0.12393853
ADAMTS6,4,-0.67025816,-0.742524942,-2.091737203,-1.905545099,-0.748047096
ADAMTS8,4,-0.44974471,-0.886136357,-0.440861755,-0.590936671,0.899849415
ADAMTS9,4,-0.575011495,-0.479202688,1.405347591,1.435189897,0.468748468
ADAMTSL1,4,0.566782716,0.681486048,-0.930019645,-0.368604731,-0.831492044
ADAMTSL2,4,-1.057281928,-0.15650374,-0.074558847,-0.00560587,0.494454102
ADAMTSL3,4,-0.890767877,1.263571114,-0.129331632,0.253175223,0.493172664
ADAMTSL4,4,-0.854170815,-1.21018359,1.277999882,-0.145691375,1.18593447
ADAMTSL5,3,-0.293818506,0.549343834,-0.680692219,-0.80771511,0.56274503
ADAP1,4,-1.189134678,-1.873646582,-0.947882144,-0.211866666,-0.481778472
ADAP2,4,-0.455990846,-0.086051145,0.779788392,1.547348005,-0.947805053
ADAR,4,0.683257028,-0.030289426,-1.007868661,0.64015804,0.14633135
ADARB1,4,1.166739294,0.83435674,1.942843513,1.960193247,-0.121744345
ADARB2,4,-0.209242963,-0.376068125,-0.394192623,-1.013020428,0.618574804
ADAT1,4,1.219720876,2.554433226,1.507658584,1.464160971,0.027398198
ADAT2,4,-0.885676438,0.015248642,-0.445560599,-1.282698986,-3.814187787
ADAT3,4,-1.000843576,-1.343706278,-0.907593249,-0.510653032,-1.22250406
ADCK1,4,-0.858738337,0.780553898,0.832785083,0.182239021,1.403608719
ADCK2,4,-0.66378039,0.271136098,-1.366055181,-1.468606708,-0.417893271
ADCK5,4,-0.492576463,0.803942979,0.27883814,-0.851579769,1.588167198
ADCY1,4,-0.325292028,0.071190776,-0.369273381,-0.182882934,-0.659801775
ADCY10,4,-0.127388399,0.142112249,-0.653905014,-0.495110124,0.507155935
ADCY2,4,-0.417809639,0.21655272,-0.245363729,-0.774677256,-0.450680187
ADCY3,4,0.184879542,-1.277926004,-0.223995167,0.024346465,-0.109049697
ADCY4,4,0.156693617,-0.390745863,-0.59125877,-1.119369459,-0.573997172
ADCY5,4,0.250479611,0.118397132,1.673952039,0.93305343,0.349777604
ADCY6,4,1.950706644,0.379028939,0.932154694,1.521650587,0.844210579
ADCY7,4,-1.971660914,-0.038849874,-1.376512865,-1.115076647,-0.282291678
ADCY8,4,0.978521137,0.067660252,1.045269605,0.430231652,0.147243478
ADCY9,4,0.827754748,1.802959667,1.671479399,0.6627928,0.181138979
ADCYAP1,4,0.278129521,-1.094465803,0.117372784,0.468405418,0.889633433
ADCYAP1R1,4,-1.198878894,0.240224997,-1.660153538,-0.439267917,-1.447551408
ADD1,4,0.749252946,0.306068629,-0.893715028,-1.073002845,0.096980744
ADD2,4,-0.133591187,0.177235925,-0.362248084,1.183975454,0.476728713
ADD3,4,0.867144857,0.086900587,-0.082890027,-0.642919813,0.639950586
ADGB,4,0.001402352,-2.409375463,-0.42027123,0.213780622,0.455223613
ADGRA1,4,-0.77801127,-0.22999329,-0.501142555,1.490045595,0.160358795
ADGRA2,4,0.236358915,-0.084407659,-0.454043663,-0.02805996,-0.384353047
ADGRA3,4,-1.173878725,-2.214787962,-2.473098718,-1.054974291,0.46756594
ADGRB1,4,-0.049435733,-1.695309668,-2.062088445,-0.081626119,-1.092687863
ADGRB2,4,0.459623266,-0.106602753,-0.157245731,-0.631458927,0.10091198
ADGRB3,4,0.472271301,0.802033061,0.666522318,1.19515139,0.424706769
ADGRD1,4,0.88381959,-0.648701322,-0.045476316,-0.468780868,1.518359287
ADGRD2,4,-0.575569345,-0.341101895,-0.917580764,-0.481327234,-0.783506774
ADGRE1,4,-0.288490133,0.170862758,-0.16176979,-1.60201193,0.43734682
ADGRE2,4,-1.532144303,-1.675481857,-2.433600078,-1.841303894,-0.099569837
ADGRE3,4,-0.573466095,-0.586720073,0.143150287,0.475649174,-0.057646766
ADGRE5,4,-1.791173694,-0.928080882,-1.029251793,-0.973466751,0.794703715
ADGRF1,4,-1.057874507,0.533837493,-1.158057682,-0.914164087,-1.177415846
ADGRF2,4,-1.513424533,-0.709075001,-0.573798831,-1.337310024,0.201603035
ADGRF3,4,-1.527695677,-0.906802798,-1.006456248,-0.192637324,0.339330848
ADGRF4,4,-0.82394527,-1.443598474,-0.917149368,-2.202230303,-0.07162883
ADGRF5,4,-1.102543727,-0.842660487,0.529788963,0.011654556,0.766785084
ADGRG1,4,0.86141512,-0.310995252,1.965124573,0.269988036,0.902194063
ADGRG2,4,-0.030756086,0.133963169,-0.301662046,-0.45862036,-0.084087309
ADGRG3,4,0.181299103,-0.686865589,-0.483508554,0.546216133,0.100195813
ADGRG4,4,-1.883366304,-2.406196801,-0.432097748,-1.095730183,-0.266027204
ADGRG5,4,-0.68267165,-1.14766149,-1.691343246,-0.586654833,0.102020324
ADGRG6,4,-0.869550751,-1.968430942,-0.813560962,-2.409185906,-0.971232275
ADGRG7,4,-0.058522269,-0.610369551,-0.740930404,0.089900302,0.788263162
ADGRL1,7,0.561532223,-0.76427452,-0.986803347,-1.002283917,0.298952
ADGRL2,4,0.812175336,0.858144882,0.72744349,1.372438732,0.234179174
ADGRL3,4,-1.304986577,-0.337785341,0.67885437,0.128095212,0.343781523
ADGRL4,4,-0.00475726,2.411951057,1.227357753,0.890578088,1.059642237
ADGRV1,4,1.326248136,1.050628156,0.551038835,1.169397432,0.104607183
ADH4,4,2.006512743,-0.04040306,0.926073806,-0.339680577,-0.526990296
ADH5,4,-0.91472451,-1.985318646,-1.063718207,1.105020948,1.344562764
